customer_id,alerted,non_alerted,business_date
f64b93c9-a327-47e2-ada4-620fb421cb0f,5,33,2018-07-01
86546718-a253-4e2f-bca2-4e0c5490904e,3,56,2018-07-01
ba74f7ae-a6d0-47f5-9faf-6308750c1bf0,5,89,2018-07-01
75ff8845-a9c4-4a7d-ad07-f91a59a9118d,6,11,2018-07-01
2095c2da-2d04-4879-94e6-17189b3cc05e,7,12,2018-07-01
4d9615c8-1625-45f2-81fe-a6304603dc3f,4,45,2018-07-01
52454722-04dd-4d6d-aa80-33ae9dcb38aa,1,78,2018-07-01
6d4fd8f2-3e24-4076-a277-92f8e4844035,0,80,2018-07-01
210b4806-3a42-40bb-98ba-8b699a3c8e99,7,34,2018-07-01
d964f6d0-b6d4-416d-8684-e5f93892d7fd,12,45,2018-07-01
b129e737-e726-4aa7-80f2-87dd0520df5e,15,89,2018-07-01
