order_identifier,order_event_number,order_placement_date,parent_order_id,parent_order_placement_date,root_order_identifier,root_order_placement_date,order_allocation_relationship_code,allocated_order_id,allocated_order_placement_date,order_event_type_cd,order_event_date,order_event_time,firm_identifier,originator_identifier,originator_system,originating_organization_identifier,submission_channel,automated_channel,solicited_indicator,order_management_date,order_management_time,source_market_participant_identifier,receiving_desk_identifier,order_received_date,order_received_time,buyer_or_seller_identifier,buyer_or_seller_account_identifier,buyer_or_seller_type,buyer_or_seller_organization_identifier,buy_or_sell_code,seller_position_code,customer_accounting_rule,customer_position,security_identifier,security_short_name,isin_identifier,product_category,product_type,product_subtype,structured_deal,order_type_code,limit_price_issuing,limit_price_base,stop_price_issuing,stop_price_base,unit_quantity,time_in_force,expiration_date,expiration_time,held_indicator,do_not_display,order_handling_code1,order_handling_code2,order_handling_code3,order_handling_code4,order_handling_code5,dnr_dni_instructions,trade_along_side_consent_code,trade_along_side_ratio_code,detailed_instructions,ipo_indicator,new_issue_indicator,issuer_repurchase,program_trading,arbitrage_indicator,destination_market,routed_unit_quantity,bunched_order,canceling_party_role,cancellation_reason,replaced_order_identifier,replaced_order_placement_date,business_domain,jurisdiction,source_system
1002,1,2019-03-15,1112.0,2019-03-15,,,B,1111.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,200,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
1112,1,2019-03-15,,,,,S,,,NW,2019-03-15,10:11:33-04:00:00,,,D-OMS,,,,U,2019-03-15,10:14:19-04:00:00,,PROP01,2019-03-15,10:12:59-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,500,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
2002,1,2019-03-15,2223.0,2019-03-15,,,B,2222.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:CarlMcGuire,C:55255544,CI,,1,,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,,2,104.33,104.33,,,3000,GTD,2019-03-29,11:15:00-04:00:00,N,,,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
2002,2,2019-03-15,2223.0,2019-03-15,,,B,2222.0,2019-03-15,RT,2019-03-15,10:13:59-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:CarlMcGuire,C:55255544,CI,,1,,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,,2,104.33,104.33,,,3000,GTD,2019-03-29,11:15:00-04:00:00,N,,,,,,,,,,,,,,,,NASD,3000.0,,,,,,,Institutional Client,Z-OMS
1003,1,2019-03-15,1113.0,2019-03-15,,,B,1111.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,200,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
1113,1,2019-03-15,,,,,S,,,NW,2019-03-15,10:11:33-04:00:00,,,D-OMS,,,,U,2019-03-15,10:14:19-04:00:00,,PROP01,2019-03-15,10:12:59-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,500,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
2003,1,2019-03-15,2224.0,2019-03-15,,,B,2222.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:CarlMcGuire,C:55255544,CI,,1,,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,,2,104.33,104.33,,,3000,GTD,2019-03-29,11:15:00-04:00:00,N,,,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
2003,2,2019-03-15,2224.0,2019-03-15,,,B,2222.0,2019-03-15,RT,2019-03-15,10:13:59-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:CarlMcGuire,C:55255544,CI,,1,,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,,2,104.33,104.33,,,3000,GTD,2019-03-29,11:15:00-04:00:00,N,,,,,,,,,,,,,,,,NASD,3000.0,,,,,,,Institutional Client,Z-OMS
1004,1,2019-03-15,1114.0,2019-03-15,,,B,1111.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,200,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
1114,1,2019-03-15,,,,,S,,,NW,2019-03-15,10:11:33-04:00:00,,,D-OMS,,,,U,2019-03-15,10:14:19-04:00:00,,PROP01,2019-03-15,10:12:59-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,500,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
2004,1,2019-03-15,2225.0,2019-03-15,,,B,2222.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:CarlMcGuire,C:55255544,CI,,1,,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,,2,104.33,104.33,,,3000,GTD,2019-03-29,11:15:00-04:00:00,N,,,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
2004,2,2019-03-15,2225.0,2019-03-15,,,B,2222.0,2019-03-15,RT,2019-03-15,10:13:59-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:CarlMcGuire,C:55255544,CI,,1,,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,,2,104.33,104.33,,,3000,GTD,2019-03-29,11:15:00-04:00:00,N,,,,,,,,,,,,,,,,NASD,3000.0,,,,,,,Institutional Client,Z-OMS
1005,1,2019-03-15,1115.0,2019-03-15,,,B,1111.0,2019-03-15,NW,2019-03-15,10:12:23-04:00:00,,,Z-OMS,,,,U,2019-03-15,10:15:16-04:00:00,,PROP01,2019-03-15,10:13:55-04:00:00,S:KarenScott,C:009877665,CI,,1,,,,C.N,C,US1729674242,EQT,Common Stock,,,1,,,,,200,DAY,,,N,,FOK,,,,,,,,,,,,,,,,,,,,,,Institutional Client,Z-OMS
