Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
091-090_4-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/28/2018 5:12:00 PM,11/21/2018 3:43:59 PM,11/21/2018 3:43:43 PM,Cisco IE-2000-16TC-G-X,2,1,091-090_4-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.579054,-80.17350,South
091-086_8-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/14/2018 10:06:00 PM,11/21/2018 3:43:34 PM,11/21/2018 3:43:15 PM,Cisco IE-2000-16TC-G-X,11,1,091-086_8-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.521026,-80.17285,South
091-082_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/3/2018 3:22:00 PM,11/21/2018 3:43:41 PM,11/21/2018 3:43:24 PM,Cisco IE-2000-16TC-G-X,5,1,091-082_9-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.469988,-80.17505,South
091-078_8-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/22/2018 10:14:00 PM,11/21/2018 3:43:44 PM,11/21/2018 3:43:30 PM,Cisco IE-2000-16TC-G-X,2,1,091-078_8-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.409728,-80.17163,South
091-069_7-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/13/2018 2:57:00 PM,11/21/2018 3:43:41 PM,11/21/2018 3:43:19 PM,Cisco IE-2000-16TC-G-X,8,1,091-069_7-SB-SW,0,82,18,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.276656,-80.16929,South
091-065_9-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/13/2018 3:11:00 PM,11/21/2018 3:43:49 PM,11/21/2018 3:43:32 PM,Cisco IE-2000-16TC-G-X,3,1,091-065_9-SB-SW,0,82,18,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.229507,-80.181014,South
091-094_2-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/15/2018 9:58:00 PM,11/21/2018 3:43:23 PM,11/21/2018 3:42:28 PM,Cisco IE-2000-16TC-G-X,3,1,091-094_2-SB-SW,0,82,18,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.630425,-80.17515,South
091-091_7-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/24/2018 5:07:00 PM,11/21/2018 3:43:52 PM,11/21/2018 3:43:37 PM,Cisco IE-2000-16TC-G-X,2,1,091-091_7-SB-SW,0,82,18,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.597183,-80.173667,South
091-073_3-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/1/2018 4:00:00 PM,11/21/2018 3:43:12 PM,11/21/2018 3:42:41 PM,Cisco IE-2000-16TC-G-X,4,1,091-073_3-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.333056,-80.17050,South
091-074_3-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/7/2018 1:34:00 AM,11/21/2018 3:42:35 PM,11/21/2018 3:42:28 PM,Cisco IE-2000-16TC-G-X,13,1,091-074_3-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.344358,-80.17073,South
091-075_5-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/7/2018 1:34:00 AM,11/21/2018 3:42:48 PM,11/21/2018 3:42:29 PM,Cisco IE-2000-16TC-G-X,1,1,091-075_5-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.362844,-80.17093,South
091-076_4-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/26/2018 5:09:00 PM,11/21/2018 3:43:24 PM,11/21/2018 3:42:28 PM,Cisco IE-2000-16TC-G-X,7,1,091-076_4-SB-SW,0,82,18,Up.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.375841,-80.17115,South
091-078_2-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/12/2018 7:09:00 AM,11/21/2018 3:43:57 PM,11/21/2018 3:43:45 PM,Cisco IE-2000-16TC-G-X,2,1,091-078_2-SB-SW,0,82,18,Up-Down.gif,SR 091 MM 065 - 094,Fiber,Switch-NEMA,26.402031,-80.17155,South
