Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
pom2245c2a-sw,12/30/1899 5:00:00 AM,1,Up.gif,4/2/2014 1:57:00 PM,11/21/2018 3:42:41 PM,11/21/2018 3:39:43 PM,"Brocade Communications Systems, Inc.",4,3,pom2245c2a-sw,0,87,13,Up.gif,Pompano Annex,Fiber,Switch-Campus,26.224477,-80.184515,
pom2245r4a-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,2/2/2018 4:04:00 AM,11/21/2018 3:40:06 PM,11/21/2018 3:39:43 PM,"Brocade Communications Systems, Inc.",6,3,pom2245r4a-sw,0,94,6,Up-Down.gif,Pompano Annex,Fiber,Switch-Campus,26.224477,-80.184515,
pom2245r4b-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,5/10/2014 8:51:00 PM,11/21/2018 3:40:50 PM,11/21/2018 3:40:27 PM,"Brocade Communications Systems, Inc.",7,3,pom2245r4b-sw,0,94,6,Up-Down.gif,Pompano Annex,Fiber,Switch-Campus,26.224477,-80.184515,
091-263_9-HQ-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,8/25/2017 12:22:00 AM,11/21/2018 3:42:19 PM,11/21/2018 3:39:50 PM,"Brocade Communications Systems, Inc.",6,0,091-263_9-HQ-SW,0,94,6,Up-Down.gif,Turkey Lake HQ 5315,Fiber,Switch-Campus,28.517071,-81.502962,North
tlops4108c3b-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,12/14/2017 2:45:00 PM,11/21/2018 3:40:28 PM,11/21/2018 3:40:06 PM,"Brocade Communications Systems, Inc.",3,0,tlops4108c3b-sw,0,68,32,Up-Down.gif,Turkey Lake OPS 4108,Fiber,Switch-Campus,28.517071,-81.502962,
tlbuffera-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/1/2017 4:58:00 AM,11/21/2018 3:40:06 PM,11/21/2018 3:39:48 PM,"Brocade Communications Systems, Inc.",3,0,tlbuffera-sw,0,94,6,Up-Down.gif,Turkey Lake Trades 5319,Fiber,Switch-Campus,28.517071,-81.502962,
FHPCallCenter-48PORT-SW,12/30/1899 5:00:00 AM,1,Up.gif,9/9/2010 10:39:00 PM,11/21/2018 3:43:48 PM,11/21/2018 3:40:19 PM,"Brocade Communications Systems, Inc.",4,3,FHPCallCenter-48PORT-SW,0,83,17,Up.gif,SR 091-094-MHUB Lake Worth Dispatch - FHP LAN Room,Fiber,Switch-Campus,28.517071,-81.502962,
tltradesr3a,12/30/1899 5:00:00 AM,1,Up.gif,9/1/2017 4:58:00 AM,11/21/2018 3:40:07 PM,11/21/2018 3:39:48 PM,"Brocade Communications Systems, Inc.",4,0,tltradesr3a,0,72,28,Up.gif,Turkey Lake Trades 5319,Fiber,Switch-Campus,28.517071,-81.502962,
589-023_4-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/10/2013 2:23:00 PM,11/21/2018 3:40:21 PM,11/21/2018 3:39:50 PM,"Brocade Communications Systems, Inc.",49,34,589-023_4-SW,10,94,6,Up-Down.gif,SR 589-023-MHUB Anclote Toll Plaza Hub,Fiber,Switch-Campus,28.2562139,-82.5495389,Zone 4
pom290r3n-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/20/2018 8:46:00 PM,11/21/2018 3:40:30 PM,11/21/2018 3:40:28 PM,"Brocade Communications Systems, Inc.",5,3,pom290r3n-sw,0,94,6,Up-Down.gif,Pompano Ops Building,Fiber,Switch-Campus,26.224477,-80.184515,
