factor1,1,0.75,0.05,0.05,03/31/2018,0
factor2,0.75,1,0.05,0.05,03/31/2018,0
factor3,0.05,0.05,1,0.25,03/31/2018,0
factor4,0.05,0.05,0.25,1,03/31/2018,0
factor1,1,0.75,0.05,0.05,06/30/2018,0
factor2,0.75,1,0.05,0.05,06/30/2018,0
factor3,0.05,0.05,1,0.25,06/30/2018,0
factor4,0.05,0.05,0.25,1,06/30/2018,0
factor1,1,0.75,0.05,0.05,09/30/2018,0
factor2,0.75,1,0.05,0.05,09/30/2018,0
factor3,0.05,0.05,1,0.25,09/30/2018,0
factor4,0.05,0.05,0.25,1,09/30/2018,0
factor1,1,0.75,0.05,0.05,12/31/2018,0
factor2,0.75,1,0.05,0.05,12/31/2018,0
factor3,0.05,0.05,1,0.25,12/31/2018,0
factor4,0.05,0.05,0.25,1,12/31/2018,0
