iteration_id,cust1,cust2,cust3,cust4,cust5,cust6,cust7,cust8,cust9,cust10,cust11,cust12,cust13,cust14,cust15,cust16,cust17,cust18,cust19,cust20,cust21,cust22,cust23,cust24,cust25,cust26,cust27,cust28,cust29,cust30,cust31,cust32,cust33,cust34,cust35,cust36,cust37,cust38,cust39,cust40,cust41,cust42,cust43,cust44,cust45,cust46,cust47,cust48,cust49,cust50,cust51,cust52,cust53,cust54,cust55,cust56,cust57,cust58,cust59,cust60,cust61,cust62,cust63,cust64,cust65,cust66,cust67,cust68,cust69,cust70,cust71,cust72,cust73,cust74,cust75,cust76,cust77,cust78,cust79,cust80,cust81,cust82,cust83,cust84,cust85,cust86,cust87,cust88,cust89,cust90,cust91,cust92,cust93,cust94,cust95,cust96,reporting_date
1,-0.300232159,-1.277683168,0.244257308,1.27647354,1.198350219,1.733133104,-2.18358764,-0.234181243,1.095022526,-1.086700649,-0.69020416,-1.690432327,-1.846910891,-0.977629497,-0.773507054,-2.117931217,-0.567924872,-0.404047569,0.134853053,-0.365492951,-0.32699063,-0.370240514,1.342641553,-0.085284455,-0.186157649,-0.513207397,1.972211976,0.865672973,2.375654731,-0.654906671,1.661455826,-1.612397682,0.53894837,0.902191459,1.918915586,-0.084517069,-0.523795052,0.675138381,-0.381323844,0.75761136,-1.444186637,-0.847237516,-1.521570994,-0.362877017,-0.032479193,0.028117029,-0.322716005,2.194501576,-1.742482709,-0.736476977,-2.577580744,1.447670002,-1.279763637,-0.653579946,0.757713678,0.466711754,0.874608759,0.595741767,-1.371849976,-1.115738542,0.69399448,0.322636424,-0.939837719,-0.240947884,0.131535671,0.557797648,0.138714995,-0.910961262,1.884845915,0.487198122,0.07223889,0.829841156,0.86200771,-0.636531468,-0.923191692,1.111188794,-1.201178748,-1.558892109,0.711324901,0.638406163,2.205688361,1.443754627,1.3039039,0.112960379,0.001950866,0.453701432,-0.025514737,-1.054675067,-1.774806151,0.828331395,0.444224497,0.617906153,0.213473186,-1.026930931,1.238195182,-0.311213171,03/31/2018
2,-0.839921768,-0.821128197,-0.428992735,-0.453361508,-0.523795052,0.849429398,0.513207397,-0.608304163,1.304979378,-1.760936357,0.550571713,-0.116272076,0.041741259,-0.65405402,-0.549594006,0.849320259,0.803045168,0.456416274,0.691368314,1.630623956,0.303914476,0.58899559,1.852836249,-0.335556933,1.038274604,0.143504622,1.141040684,-0.148298795,-0.779816673,1.075993623,-0.581821951,0.533912043,0.545771854,-0.316437081,-0.440766144,-1.36599283,1.99295755,-0.56648787,0.086129148,-0.234260824,2.835367923,1.251978574,0.88090701,1.332164175,0.18787091,0.541957661,-0.249619916,-1.221087587,1.266685103,-0.28888735,-1.30587523,0.764254082,0.784282292,0.428154863,0.403881586,-0.64809683,0.72309831,0.52528776,1.075038654,-2.769447747,0.463815013,1.467137736,-1.722582965,0.045494062,1.354032975,1.688204065,0.238665052,0.145050763,1.854541551,-0.042584816,-0.656898465,0.907375579,-0.009906671,1.039193194,0.434704361,1.453363438,-0.121201538,-0.961717888,-1.53858764,-2.565066097,0.103187858,0.299191925,-0.017787443,0.200499244,0.258232831,1.476173566,0.085284455,-1.116736712,-1.389912541,0.191453182,0.951081347,-1.508792593,-0.609961717,0.523532435,-0.216761009,-0.343579813,03/31/2018
3,-0.163475988,-0.439670202,-0.802622253,0.644796501,0.058822707,1.26345185,0.262189133,0.057136731,0.226954171,0.214490683,-0.007458993,-1.223834261,0.235361313,0.148221488,0.75242383,-0.736176844,0.616424813,0.219110916,0.114346221,0.868124062,1.802836778,-1.308389983,-1.234252522,0.560032731,1.190699095,-0.878203537,-2.145379767,-0.898178314,0.201982857,0.429076863,-0.984935014,-0.859236025,0.461685659,0.121586936,-0.540098881,0.102495505,-0.941504368,-0.895317953,1.046571469,1.626590347,-0.672066562,-0.171932015,0.112729595,1.844809958,0.595011898,1.654802873,0.177058155,1.560183591,-0.643760814,-0.966099378,1.193971002,0.918751084,-1.729367796,1.271994279,-0.199796659,-1.134901595,-1.879006959,-0.824886683,0.473376076,0.917700618,-0.069478574,-0.053842086,0.214647571,-0.352031293,0.928123427,-0.494273991,2.343476808,0.744023509,0.610607458,-0.981090125,0.871696102,1.447233444,-0.731370164,-0.301112095,-1.339635674,1.353078005,1.045118552,0.184368218,-2.191118256,0.50554263,0.526254098,1.216105829,-0.958200417,1.205596618,-0.561913112,-0.733671186,-1.724611138,1.374601197,-0.965367235,1.545872692,-1.167247774,-0.409032737,-1.307851107,1.589796739,0.028805971,0.330462626,03/31/2018
4,0.976397132,1.94920176,-0.060891807,-1.029657142,-0.569364147,0.847566071,0.872369128,0.510765403,-1.486027941,-1.396169864,-0.14381385,-0.628961061,-0.62756385,0.878990249,-0.838290362,-0.114885097,-0.232137154,1.518415047,-1.31744855,-0.935444859,-0.167353846,-1.061100647,-1.434059413,-2.163287718,0.580826054,-0.338876589,0.412611598,-2.048946044,1.167700248,-1.948692443,-0.517312628,-0.976397132,-0.100496891,0.134776883,1.735543265,-0.506586275,-0.794624384,-0.74674972,0.586721853,1.283938218,-1.435346348,0.969275789,1.587632141,-0.666898359,0.083134637,-0.828331395,0.695551989,0.239216433,0.046642299,-1.029786745,-0.299592102,0.724589881,-0.009677024,1.002229055,-1.013927431,0.758632268,1.241660357,-1.169519237,0.396505584,-1.781122592,0.079296569,1.006283128,1.03539378,0.105110303,-0.761694992,0.578472736,0.464325467,0.728773557,-0.949039531,0.596655809,1.610715117,0.234260824,-0.385275598,0.248752485,1.818207238,-2.400829544,0.016791546,-0.123052359,0.989543878,1.236057869,1.635557965,-1.819003046,0.80399559,0.366883341,0.742209068,0.483928488,-0.135394203,1.659332156,0.454379006,-0.031177478,-0.020618245,-0.052464202,-1.682819857,0.443211547,0.192778771,0.650741185,03/31/2018
5,-0.168904535,0.82563929,1.321466243,1.902308213,-1.31055458,0.620036644,-0.215743512,-0.742006705,0.73928959,2.331726137,1.349458216,0.179701374,-0.473290811,-0.238114808,-1.098092071,0.074846866,-0.258627324,0.63943844,-1.274058832,0.519149808,0.976519914,-0.863894911,0.371469469,0.530915258,0.975535386,-0.226718839,0.233080755,-0.419117896,0.510154905,1.576936484,-0.158980811,-1.023568075,-0.921320407,0.729771727,1.596326911,-0.631854391,-0.832434353,1.022792731,0.222952394,0.449126674,2.599408617,-0.579286734,-0.784593794,1.212429197,-0.30455567,-1.416319719,1.119451554,-1.288310614,-0.398408702,-1.43856596,-1.09837174,0.606280537,0.12174155,-1.7491584,2.037231752,0.240318059,1.427249572,-0.026968792,-0.238586608,0.029035618,-1.851985871,-0.689911985,1.38271389,0.168672614,-0.439670202,-0.604993602,-1.146042905,1.248802164,2.470587788,0.915836154,-0.099112185,-0.859015472,-0.084746716,-0.254754013,-0.394933295,0.87069111,-0.283787358,0.344148248,0.797144821,0.240634108,-1.629468898,0.026968792,0.650268248,-0.162312972,-1.649414116,-1.5976957,-0.812692633,0.259735771,-0.612175199,2.062870408,-0.216917897,0.863449259,1.239513949,-0.458539944,-1.844809958,-0.901502517,03/31/2018
6,0.099036015,0.270987357,0.89543164,-2.074575605,-0.682362042,0.152863322,0.141573082,-0.073619049,-0.240790996,1.469611561,0.837962943,-1.331422936,-0.474146873,-0.260367869,-0.934853688,-0.198861017,0.149846073,-0.958561941,0.841992005,-0.174184152,0.706211267,-0.755067049,0.31113359,-1.259381861,2.283504728,0.82811539,-1.124619757,1.492285264,-0.272495981,-1.421344678,-0.432266916,0.276387482,-0.708373591,0.586539954,-0.235361313,0.528011697,-1.923763193,-1.110479388,1.486027941,0.207060111,0.89406285,-1.22302481,-1.267710559,-0.247805474,-0.187480964,1.015464477,1.015719135,-0.289924174,0.502936928,0.950481081,-0.768975497,-0.739893267,-0.299831981,0.504674063,-1.721573426,1.199448434,1.923281161,0.013043291,-1.289363354,0.018399078,1.47845185,0.163786353,1.262772003,1.056009751,0.369093414,-0.760162493,-0.4409344,1.339258233,0.454633664,0.703171281,-0.942936822,-2.102333383,-0.052386895,0.997940788,0.90334197,-0.494878805,-0.673121576,0.286974,-1.067842277,0.537356755,-1.597422852,1.454245648,1.621156116,-0.661461854,1.279936441,0.700431428,0.924246706,-1.095440894,1.266002982,-0.433694822,1.249970865,-1.595508365,-0.898062353,3.015738912,-0.426897486,-0.415778914,03/31/2018
7,0.670149802,-0.311374606,-1.739354047,0.049552682,0.900470241,0.895888661,-0.255228088,0.447519142,1.809876267,0.447096227,0.08290499,-0.544617933,0.283707777,-0.019622348,1.591693035,2.905871952,-1.832777343,0.138096539,1.68061888,0.964514584,0.195661869,1.15315288,1.016617261,-0.1068031,-0.777536115,-1.000714747,-1.154492111,-2.516826498,-1.197722668,0.668044322,0.802622253,1.206544766,-0.440174972,-1.259722922,-1.873222573,-0.487887064,-0.371796887,0.971112968,-0.64263304,1.027449343,0.301351974,0.897032351,1.14280283,0.622449079,0.279806045,-0.175505193,0.404047569,-0.540363772,0.822738002,-0.098036708,-0.692632511,-0.842755981,1.772591531,0.404129423,0.067561814,1.042217264,-0.938648554,0.053306621,-0.186469151,0.511374765,1.807129593,-0.416696366,1.492517185,0.605086825,1.604862518,2.022816261,0.911657025,1.989064913,-0.052770019,0.017480488,1.527196218,-0.672833949,0.171467036,-1.107789558,-0.02107754,1.406174306,0.32666776,0.078146059,-0.774023192,-1.921334842,-0.561196885,-1.647922545,1.06258085,-0.009447376,1.174687441,1.126638836,0.891441232,0.608765731,0.780956952,0.290083335,-0.077302502,-0.34179493,-0.660224941,-0.120430741,1.867074388,-0.001339231,03/31/2018
8,1.515513759,-0.725585778,1.733133104,-1.25248107,0.401225861,0.464835921,-1.077632987,2.526030585,0.592365268,-1.032781256,-1.458665793,-1.650305421,-0.443886847,-1.601820259,-1.270620942,-1.78864866,-0.702584657,-0.300472038,1.064465778,0.736879429,-0.149768766,-0.153637529,-0.902996362,1.317266651,1.012649591,-0.562271225,1.685348252,-0.965856088,0.804207048,1.453586265,0.345040689,-0.688651198,-0.205496917,0.705231287,-1.851558409,-0.845923296,0.345203262,-0.378774985,-1.197095116,0.249935965,0.75364369,-1.708917807,-0.435207994,-0.762206582,0.402553724,-0.209561222,-0.508500761,0.174650268,-0.965733307,-0.93592007,-0.400646059,1.919397619,-1.834009709,-0.140723841,0.371469469,0.270431428,1.560183591,-1.685662028,0.285219812,-1.024729954,0.396505584,0.698282747,-0.852946869,-0.214647571,-0.531267688,-1.279242952,0.39708425,0.423045776,-0.1334638,0.483928488,0.34861614,2.324832167,-0.863894911,0.376885509,-2.119377314,-0.128989086,0.983197879,-0.874833859,-0.351136578,-0.590816853,-0.365329242,0.846252988,-0.125750148,1.815415089,-0.440680878,-1.165738013,0.639156497,-0.102419335,-0.166500058,-1.613520908,-0.817597083,-0.569364147,-0.787929366,-1.314720066,-0.118582193,1.097255335,03/31/2018
9,-0.658417321,-0.106188054,-0.072545845,0.889849616,-0.24457222,2.499073162,-2.383458195,0.000726459,-0.724392066,-0.123976633,1.321832315,0.360998911,-0.310009227,-1.254327344,-0.419952357,-0.773197826,1.203700322,-0.549860033,-0.427232862,0.0337036,-0.576847015,1.104124294,0.090813046,-0.001415401,-0.080448217,-1.13708893,0.079987785,-0.176592039,-1.171035819,-0.692632511,0.619295406,1.052010248,0.690979505,0.493755579,-0.997438292,1.106659511,-1.296598384,0.665943389,-1.478911145,1.118307864,1.480966603,0.258311275,0.881809683,0.306239372,-1.492053343,-1.705302566,0.930951956,1.08752829,0.270035798,-0.438994903,-0.874608759,-0.55574219,-1.156131475,-0.761490355,0.359120804,-0.958684723,1.850285116,0.655950316,-0.220052243,-0.351950575,-0.526165422,0.44143917,1.256007636,-1.618318493,-1.714543032,-0.498860118,-0.1835906,1.614926077,-0.245045157,0.185380031,-0.886332145,-0.710734867,-1.291298304,1.302294095,0.17791308,-1.208131835,1.968483048,-1.647331374,1.638773028,-1.445055204,-1.011883342,-0.641316547,-0.697502855,1.130688361,-0.331756382,1.287960458,-0.896918664,-0.480577,0.358223815,-1.833186616,0.543464012,0.71319846,1.766002242,2.433480404,-0.427316991,0.089968353,03/31/2018
10,-1.054809218,-0.03270884,-2.190281521,-1.354223969,-0.059283138,-0.655759322,-0.635127435,-0.984687176,-0.428321982,0.896118308,-1.572966539,0.686229669,-0.120508048,-0.469358383,-0.330220473,-1.101593625,1.654802873,-1.402072485,0.659748594,0.653201369,0.90334197,0.708078005,0.975658168,-0.866118626,1.906055331,0.782617917,-0.521953325,-0.788659236,0.248199967,2.191954991,1.921816875,0.783761607,1.129963039,-1.647922545,0.499553607,-0.750192157,0.68593863,0.625980192,0.598851102,0.245281626,-2.131819201,-0.122281563,-0.929182988,-1.404118848,-1.128514668,-0.817597083,-0.593004188,0.608672508,-0.876068498,-0.140105385,2.166480044,-0.5333834,0.10434178,0.912700671,0.800407634,-0.093579047,-0.732570697,-0.159368483,-1.201019586,-0.792947503,2.101642167,0.207763833,-0.631014245,0.474574335,0.867678409,-0.050548579,-0.64244432,-0.816742158,1.674989107,-1.256175892,0.095116093,1.31399247,-0.510851805,0.213708518,1.085045369,0.096422355,1.41485998,-0.765689947,-0.286495379,1.591693035,1.054008862,0.420537845,-0.585541784,0.950840331,1.298374173,-0.669863311,0.743116289,-0.875954811,-0.073466708,-1.315809186,-1.286557563,-1.006410457,-0.962688773,1.127070846,-0.862339675,0.065797394,03/31/2018
