cust_id,industry,pd,exposure,lgd,lgd_var,correlation,sqrt_correlation,def_point,reporting_date
cust1,factor1,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust2,factor1,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust3,factor1,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust4,factor1,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust5,factor1,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust6,factor1,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust7,factor1,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust8,factor1,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust9,factor1,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust10,factor1,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust11,factor1,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust12,factor1,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust13,factor1,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust14,factor1,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust15,factor1,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust16,factor1,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust17,factor1,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust18,factor1,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust19,factor1,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust20,factor1,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust21,factor1,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust22,factor1,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust23,factor1,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust24,factor1,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust25,factor2,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust26,factor2,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust27,factor2,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust28,factor2,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust29,factor2,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust30,factor2,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust31,factor2,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust32,factor2,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust33,factor2,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust34,factor2,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust35,factor2,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust36,factor2,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust37,factor2,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust38,factor2,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust39,factor2,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust40,factor2,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust41,factor2,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust42,factor2,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust43,factor2,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust44,factor2,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust45,factor2,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust46,factor2,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust47,factor2,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust48,factor2,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust49,factor3,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust50,factor3,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust51,factor3,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust52,factor3,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust53,factor3,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust54,factor3,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust55,factor3,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust56,factor3,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust57,factor3,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust58,factor3,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust59,factor3,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust60,factor3,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust61,factor3,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust62,factor3,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust63,factor3,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust64,factor3,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust65,factor3,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust66,factor3,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust67,factor3,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust68,factor3,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust69,factor3,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust70,factor3,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust71,factor3,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust72,factor3,0.005,1,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust73,factor4,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust74,factor4,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust75,factor4,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust76,factor4,0.02,25,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust77,factor4,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust78,factor4,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust79,factor4,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust80,factor4,0.02,5,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust81,factor4,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust82,factor4,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust83,factor4,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust84,factor4,0.02,1,0.5,0,0.18,0.424264069,-2.053748911,03/31/2018
cust85,factor4,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust86,factor4,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust87,factor4,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust88,factor4,0.005,25,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust89,factor4,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
cust90,factor4,0.005,5,0.5,0,0.18,0.424264069,-2.575829304,03/31/2018
