cust_id,industry,pd,exposure,lgd,lgd_var,correlation,sqrt_correlation,def_point,reporting_date,version
cust1,factor1,0.039,657,0.34,0,0.18,0.424264069,-1.762410298,03/31/2018,0
cust2,factor1,0.193,607,0.4,0,0.18,0.424264069,-0.866894167,03/31/2018,0
cust3,factor1,0.1059,422,0.35,0,0.18,0.424264069,-1.248631187,03/31/2018,0
cust4,factor1,0.1712,855,0.25,0,0.18,0.424264069,-0.949433852,03/31/2018,0
cust5,factor1,0.0978,956,0.84,0,0.18,0.424264069,-1.294189421,03/31/2018,0
cust6,factor1,0.0422,153,0.63,0,0.18,0.424264069,-1.725707767,03/31/2018,0
cust7,factor1,0.2658,258,0.52,0,0.18,0.424264069,-0.62556546,03/31/2018,0
cust8,factor1,0.0261,132,0.74,0,0.18,0.424264069,-1.941480685,03/31/2018,0
cust9,factor1,0.546,49,0.65,0,0.18,0.424264069,0.115561597,03/31/2018,0
cust10,factor1,0.0682,514,0.86,0,0.18,0.424264069,-1.489331868,03/31/2018,0
cust11,factor1,0.0175,866,0.57,0,0.18,0.424264069,-2.108358399,03/31/2018,0
cust12,factor1,0.0605,619,0.81,0,0.18,0.424264069,-1.550589875,03/31/2018,0
cust13,factor1,0.4126,877,0.49,0,0.18,0.424264069,-0.220861854,03/31/2018,0
cust14,factor1,0.4653,533,0.75,0,0.18,0.424264069,-0.087089967,03/31/2018,0
cust15,factor1,0.063,958,0.3,0,0.18,0.424264069,-1.530067588,03/31/2018,0
cust16,factor1,0.0537,388,0.57,0,0.18,0.424264069,-1.609990181,03/31/2018,0
cust17,factor1,0.1401,980,0.16,0,0.18,0.424264069,-1.079870166,03/31/2018,0
cust18,factor1,0.2766,770,0.57,0,0.18,0.424264069,-0.592971837,03/31/2018,0
cust19,factor1,0.039,822,0.51,0,0.18,0.424264069,-1.762410298,03/31/2018,0
cust20,factor1,0.0168,312,0.37,0,0.18,0.424264069,-2.124839591,03/31/2018,0
cust21,factor1,0.0205,169,0.32,0,0.18,0.424264069,-2.043530007,03/31/2018,0
cust22,factor1,0.0175,13,0.56,0,0.18,0.424264069,-2.108358399,03/31/2018,0
cust23,factor1,0.0132,25,0.24,0,0.18,0.424264069,-2.220276561,03/31/2018,0
cust24,factor1,0.0978,23,0.13,0,0.18,0.424264069,-1.294189421,03/31/2018,0
cust25,factor2,0.0516,750,0.39,0,0.18,0.424264069,-1.62953411,03/31/2018,0
cust26,factor2,0.0978,623,0.65,0,0.18,0.424264069,-1.294189421,03/31/2018,0
cust27,factor2,0.2265,407,0.22,0,0.18,0.424264069,-0.750422972,03/31/2018,0
cust28,factor2,0.5246,552,0.29,0,0.18,0.424264069,0.061702185,03/31/2018,0
cust29,factor2,0.0476,65,0.45,0,0.18,0.424264069,-1.668583253,03/31/2018,0
cust30,factor2,0.2553,699,0.73,0,0.18,0.424264069,-0.65790372,03/31/2018,0
cust31,factor2,0.4295,201,0.67,0,0.18,0.424264069,-0.177647269,03/31/2018,0
cust32,factor2,0.366,382,0.53,0,0.18,0.424264069,-0.342466301,03/31/2018,0
cust33,factor2,0.071,558,0.41,0,0.18,0.424264069,-1.468383798,03/31/2018,0
cust34,factor2,0.3809,768,0.39,0,0.18,0.424264069,-0.303117917,03/31/2018,0
cust35,factor2,0.0214,102,0.12,0,0.18,0.424264069,-2.025656474,03/31/2018,0
cust36,factor2,0.0251,918,0.62,0,0.18,0.424264069,-1.958255838,03/31/2018,0
cust37,factor2,0.019,772,0.48,0,0.18,0.424264069,-2.074854734,03/31/2018,0
cust38,factor2,0.3809,376,0.27,0,0.18,0.424264069,-0.303117917,03/31/2018,0
cust39,factor2,0.2265,464,0.79,0,0.18,0.424264069,-0.750422972,03/31/2018,0
cust40,factor2,0.2176,19,0.85,0,0.18,0.424264069,-0.780324322,03/31/2018,0
cust41,factor2,0.1401,484,0.83,0,0.18,0.424264069,-1.079870166,03/31/2018,0
cust42,factor2,0.1781,830,0.58,0,0.18,0.424264069,-0.922630108,03/31/2018,0
cust43,factor2,0.4842,910,0.33,0,0.18,0.424264069,-0.039615086,03/31/2018,0
cust44,factor2,0.3246,16,0.79,0,0.18,0.424264069,-0.454873846,03/31/2018,0
cust45,factor2,0.0138,677,0.46,0,0.18,0.424264069,-2.2029255,03/31/2018,0
cust46,factor2,0.0214,828,0.72,0,0.18,0.424264069,-2.025656474,03/31/2018,0
cust47,factor2,0.0117,930,0.77,0,0.18,0.424264069,-2.266840026,03/31/2018,0
