factor_x,reporting_date,factor_y,factor_value,version
factor1,3/31/18,factor1,1,1
factor2,3/31/18,factor1,0.75,1
factor3,3/31/18,factor1,0.05,1
factor4,3/31/18,factor1,0.05,1
factor1,3/31/18,factor2,0.75,1
factor2,3/31/18,factor2,1,1
factor3,3/31/18,factor2,0.05,1
factor4,3/31/18,factor2,0.05,1
factor1,3/31/18,factor3,0.05,1
factor2,3/31/18,factor3,0.05,1
factor3,3/31/18,factor3,1,1
factor4,3/31/18,factor3,0.25,1
factor1,3/31/18,factor4,0.05,1
factor2,3/31/18,factor4,0.05,1
factor3,3/31/18,factor4,0.25,1
factor4,3/31/18,factor4,1,1
