factor_x,reporting_date,factor_y,factor_value,version
factor1,03/31/2018,factor1,1,1
factor2,03/31/2018,factor1,0.75,1
factor3,03/31/2018,factor1,0.05,1
factor4,03/31/2018,factor1,0.05,1
factor1,03/31/2018,factor2,0.75,1
factor2,03/31/2018,factor2,1,1
factor3,03/31/2018,factor2,0.05,1
factor4,03/31/2018,factor2,0.05,1
factor1,03/31/2018,factor3,0.05,1
factor2,03/31/2018,factor3,0.05,1
factor3,03/31/2018,factor3,1,1
factor4,03/31/2018,factor3,0.25,1
factor1,03/31/2018,factor4,0.05,1
factor2,03/31/2018,factor4,0.05,1
factor3,03/31/2018,factor4,0.25,1
factor4,03/31/2018,factor4,1,1
factor1,06/30/2018,factor1,1,1
factor2,06/30/2018,factor1,0.5,1
factor3,06/30/2018,factor1,0.2,1
factor4,06/30/2018,factor1,0.2,1
factor1,06/30/2018,factor2,0.5,1
factor2,06/30/2018,factor2,1,1
factor3,06/30/2018,factor2,0.2,1
factor4,06/30/2018,factor2,0.2,1
factor1,06/30/2018,factor3,0.2,1
factor2,06/30/2018,factor3,0.05,1
factor3,06/30/2018,factor3,1,1
factor4,06/30/2018,factor3,0.35,1
factor1,06/30/2018,factor4,0.2,1
factor2,06/30/2018,factor4,0.2,1
factor3,06/30/2018,factor4,0.35,1
factor4,06/30/2018,factor4,1,1
factor1,09/30/2018,factor1,1,1
factor2,09/30/2018,factor1,0.75,1
factor3,09/30/2018,factor1,0.05,1
factor4,09/30/2018,factor1,0.05,1
factor1,09/30/2018,factor2,0.75,1
factor2,09/30/2018,factor2,1,1
factor3,09/30/2018,factor2,0.05,1
factor4,09/30/2018,factor2,0.05,1
factor1,09/30/2018,factor3,0.05,1
factor2,09/30/2018,factor3,0.05,1
factor3,09/30/2018,factor3,1,1
factor4,09/30/2018,factor3,0.25,1
factor1,09/30/2018,factor4,0.05,1
factor2,09/30/2018,factor4,0.05,1
factor3,09/30/2018,factor4,0.25,1
factor4,09/30/2018,factor4,1,1
factor1,12/31/2018,factor1,1,1
factor2,12/31/2018,factor1,0.5,1
factor3,12/31/2018,factor1,0.2,1
factor4,12/31/2018,factor1,0.2,1
factor1,12/31/2018,factor2,0.5,1
factor2,12/31/2018,factor2,1,1
factor3,12/31/2018,factor2,0.2,1
factor4,12/31/2018,factor2,0.2,1
factor1,12/31/2018,factor3,0.2,1
factor2,12/31/2018,factor3,0.05,1
factor3,12/31/2018,factor3,1,1
factor4,12/31/2018,factor3,0.35,1
factor1,12/31/2018,factor4,0.2,1
factor2,12/31/2018,factor4,0.2,1
factor3,12/31/2018,factor4,0.35,1
factor4,12/31/2018,factor4,1,1
