iteration_id,factor1,factor2,factor3,factor4
1,-1.011575701,-0.269328205,0.761650267,-2.208937141
2,0.576050547,0.614516149,-0.619448308,-0.595105976
3,-0.910439345,-1.07323226,-0.628446653,-1.079813676
4,-0.663355064,-0.242998708,0.923042156,-0.003414114
5,-0.807845937,-1.007938892,-0.555836161,2.261350417
6,-0.079170126,-0.391557185,-0.386442246,0.393099535
7,-1.236649397,-1.613891729,0.397457953,-0.986806963
8,-0.385735372,-0.846140522,1.013856281,-0.352637085
9,-0.909783366,-0.805692377,-1.786997219,-1.387348833
10,-2.553168298,-2.13364507,-0.422534045,-0.571147192
11,0.858041728,-0.401027767,-0.87567395,-0.377933096
12,-1.352494988,-1.339582109,-1.295591664,-1.420877561
13,-0.730481634,-0.716992553,-1.885002747,-0.825026336
14,-1.419389504,-1.372425697,-0.133749105,0.494435708
15,1.192602769,-0.01798268,1.464975624,-0.928474525
16,1.631735612,2.577936915,-0.052894336,-0.602710647
17,0.72836451,1.620709112,-0.92099982,1.24963649
18,1.340530178,0.843984181,-0.016237721,-0.416654592
19,-0.028135796,0.479269454,2.039495802,0.113741721
20,-1.565779914,-1.232220329,0.172940685,-0.32530181
21,-0.263564373,-0.259666433,-1.389809162,-0.351864972
22,1.064483144,0.988171371,0.526536656,-0.298551144
23,-0.661518582,-1.162985637,-0.049064962,0.217978145
24,1.963210509,1.610985131,-0.39128805,0.345815391
25,-0.609302319,0.397103516,1.226014044,2.220384717
26,0.173568311,-0.271052693,0.001083459,-0.491227107
27,-0.698853909,-0.202359975,-0.881162323,0.04067843
28,0.284678236,0.081141547,-0.269633509,-0.662060045
29,-0.644484322,0.335036395,0.121251765,0.821674138
30,-1.05094709,-0.344289958,0.642208536,0.036473404
31,-0.43827305,-0.733530289,2.115320013,0.982852771
32,1.651029856,0.778955526,-0.777221958,-1.54095142
33,-0.460569548,-0.029368866,1.028583381,0.369589827
34,-0.834182413,0.086148908,-1.692604565,-0.580412577
35,-1.082894037,-1.898957897,0.787718203,-0.548497609
36,0.280052707,1.144644979,0.639486858,-0.005793961
37,0.671984606,0.614739121,1.702351425,0.501206195
38,0.598429851,0.519069527,-0.344325552,0.066912769
39,1.163533142,-0.093635417,0.30750754,1.381700043
40,-0.672657857,-1.082038718,-0.937933988,-0.522539208
41,-0.891437533,-0.598082193,-0.456666423,-0.256295071
