address_id,address_line1,address_line2,address_line3,city,county,state,zipcode,country,latitude,longitude,load_date,load_id
6738,1530 3RD AVE S,,,BIRMINGHAM,JEFFERSON,AL,35294,United States of America,52.4862 N,1.8904 W,2017-03-01,0
1234,1 HOSPITAL DR SW,,,HUNTSVILLE,WALKER,AL,35801,United States of America,34.7304 N,86.5861 W,2017-03-01,0
7090,4145 CARMICHAEL RD,,,MONTGOMERY,MONTGOMERY,AL,36106,United States of America,32.3668 N,86.3000 W,2017-03-01,0
2919,8100 W 78TH ST,,,MINNEAPOLIS,HENNEPIN,MN,55439,United States of America,44.9778 N,93.2650 W,2017-03-01,0
3199,2425 HIGHWAY 77,,,GADSDEN,ETOWAH,AL,35907,United States of America,34.0143 N,86.0066 W,2017-03-01,0
4534,3181 SW SAM JACKSON PARK RD,,,PORTLAND,MULTNOMAH,OR,97239,United States of America,45.5231 N,122.6765 W,2017-03-01,0
1009,1751 GUNBARREL RD,,,CHATTANOOGA,HAMILTON,TN,37421,United States of America,35.0456 N,85.3097 W,2017-03-01,0
1235,210 WESTSIDE DR,,,DOTHAN,HOUSTON,AL,36303,United States of America,31.2232 N,85.3905 W,2017-03-01,0
7629,5653 FRIST BLVD,,,HERMITAGE,MERCER,TN,37076,United States of America,36.1988 N,86.6198 W,2017-03-01,0
9375,833 PRINCETON AVE SW,,,BIRMINGHAM,JEFFERSON,AL,35211,United States of America,52.4862 N,1.8904 W,2017-03-01,0
5890,5129 DIXIE HWY,,,LOUISVILLE,JEFFERSON,KY,40216,United States of America,38.2527 N,85.7585 W,2017-03-01,0
1063,7191 CAHABA VALLEY RD,,,BIRMINGHAM,JEFFERSON,AL,35242,United States of America,52.4862 N,1.8904 W,2017-03-01,0
1578,1200 S FARMERVILLE ST,,,RUSTON,LINCOLN PARISH,LA,71270,United States of America,32.5232 N,92.6379 W,2017-03-01,0
8052,4371 NARROW LANE RD,,,MONTGOMERY,MONTGOMERY,AL,36116,United States of America,32.3668 N,86.3000 W,2017-03-01,0
7999,4416 137TH AVENUE,,,EDMONTON,LEDUC,AL,66563,Canada,53.5444 N,113.4909 W,2017-03-01,0
6788,4055 BLANE STREET,,,MANCHESTER,ST LOUIS,MO,63011,United States of America,42.9966 N,71.4548 W,2017-03-01,0
8372,986 CHAPEL STREET,,,HOUSTON,CROCKETT,TX,77036,United States of America,29.7604 N,95.3698 W,2017-03-01,0
8298,78 PRIMROSE LANE,,,NEW GLARUS,GREEN COUNTY,WI,53574,United States of America,42.8144 N,89.6351 W,2017-03-01,0
9678,1940 MATTSON STREET,,,PORTLAND,MULTNOMAH,OR,97204,United States of America,45.5231 N,122.6765 W,2017-03-01,0
4483,2804 BROADCAST DRIVE,,,CHANTILLY,FAIRFAX,VA,22021,United States of America,38.8943 N,77.4311 W,2017-03-01,0
9040,3948 BASSEL STREET,,,HAMMOND,TANGIPAHOA PARISH,LA,70401,United States of America,30.5044 N,90.4612 W,2017-03-01,0
1525,867 STADIUM DRIVE,,,WAREHAM,PLYMOUTH,MA,2571,United States of America,41.7615 N,70.7197 W,2017-03-01,0
4759,1734 MILFORD STREET,,,MANCHESTER,HILLSBOROUGH,NH,3109,United States of America,42.9956 N,71.4548 W,2017-03-01,0
