Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
589-036_6-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:05 PM,,Unknown,41,16,589-036_6-SB-HAR-B,10,,-2,Up.gif,SR 589 MM 023 - 037,Copper,BEACON,28.423822720,-82.486253200,Zone 4
589-029_4-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:49 PM,,Unknown,48,32,589-029_4-NB-HAR-B,0,,-2,Up.gif,SR 589 MM 023 - 037,Copper,BEACON,28.342633330,-82.549166670,Zone 4
821-001_5-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:43:42 PM,,Unknown,2,2,821-001_5-NB-HAR-B,0,,-2,Up.gif,SR 821 MM 000 - 016,Fiber,BEACON,25.4647591,-80.45843306,South
821-010_3-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:42:12 PM,,Unknown,2,1,821-010_3-SB-HAR-B,0,,-2,Up.gif,SR 821 MM 000 - 016,Fiber,BEACON,25.54444812,-80.3632495,South
091-262_4-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:05 PM,,Unknown,1,1,091-262_4-SB-HAR-B,0,,-2,Up.gif,SR 091 MM 229 - 265,Fiber,BEACON,28.501020000,-81.481570000,North
869-007_3-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:42:58 PM,,Unknown,2,2,869-007_3-SB-HAR-B,0,,-2,Up.gif,SR 869 MM 000 - 021,Fiber,BEACON,26.221064000,-80.296917000,South
570-006_0-EB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:44 PM,,Unknown,8,2,570-006_0-EB-HAR-B,0,,-2,Up.gif,SR 570 MM 000 - 020,Fiber,BEACON,27.996132768,-81.965923143,Zone 4
570-018_1-EB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:44 PM,,Unknown,2,2,570-018_1-EB-HAR-B,0,,-2,Up.gif,SR 570 MM 000 - 020,Fiber,BEACON,28.066154889,-81.833443717,Zone 4
570-012_4-WB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:27 PM,,Unknown,4,2,570-012_4-WB-HAR-B,0,,-2,Up.gif,SR 570 MM 000 - 020,Fiber,BEACON,28.010068463,-81.869035736,Zone 4
417-038_8-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:05 PM,,Unknown,5,2,417-038_8-NB-HAR-B,0,,-2,Up.gif,SR 417 MM 037 - 047,Fiber,BEACON,28.625350000,-81.251430000,North
417-043_9-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:44 PM,,Unknown,5,1,417-043_9-SB-HAR-B,0,,-2,Up.gif,SR 417 MM 037 - 047,Fiber,BEACON,28.692777124,-81.229141527,North
091-234_4-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:05 PM,,Unknown,6,1,091-234_4-SB-HAR-B,0,,-2,Up.gif,SR 091 MM 229 - 265,Fiber,BEACON,28.152704420,-81.298033457,North
091-256_1-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:44 PM,,Unknown,8,1,091-256_1-NB-HAR-B,0,,-2,Up.gif,SR 091 MM 229 - 265,Fiber,BEACON,28.436720411,-81.411125130,North
091-307_3-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:44 PM,,Unknown,1,1,091-307_3-SB-HAR-B,0,,-2,Up.gif,SR 091 MM 302N,Fiber,BEACON,28.846292979,-82.074730624,North
091-157_7-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:42:39 PM,,Unknown,3,3,091-157_7-SB-HAR-B,0,,-2,Up.gif,SR 091 MM 144 - 174,Fiber,BEACON,27.467317193,-80.440485705,North
091-148_0-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:34 PM,,Unknown,3,3,091-148_0-NB-HAR-B,0,,-2,Up.gif,SR 091 MM 144 - 174,Fiber,BEACON,27.342389480,-80.374045272,North
091-224_5-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:44 PM,,Unknown,2,1,091-224_5-NB-HAR-B,0,,-2,Up.gif,SR 091 MM 207 - 229,Fiber,BEACON,28.040880269,-81.206256462,North
091-301_9-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:51 PM,,Unknown,4,1,091-301_9-NB-HAR-B,0,,-2,Up.gif,SR 091 MM 285 - 302,Fiber,BEACON,28.802621304,-82.001783531,North
091-129_9-NB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:33 PM,,Unknown,7,2,091-129_9-NB-HAR-B,0,,-2,Up.gif,SR 091 MM 116 - 144,Fiber,BEACON,27.104253789,-80.264219939,South
091-140_9-SB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:33 PM,,Unknown,2,2,091-140_9-SB-HAR-B,0,,-2,Up.gif,SR 091 MM 116 - 144,Fiber,BEACON,27.244309567,-80.346300326,South
528-007_4-WB-HAR-B,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:40:51 PM,,Unknown,2,1,528-007_4-WB-HAR-B,0,,-2,Up.gif,SR 528 MM 004 - 008,Copper,BEACON,28.446100000,-81.362270000,North
