Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
589-009_3-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/2/2018 11:20:00 AM,11/21/2018 3:40:28 PM,11/21/2018 3:40:13 PM,"Brocade Communications Systems, Inc.",45,33,589-009_3-NB-SW,10,,-2,Up.gif,SR 589 MM 003 - 010,Copper,Switch-Field,28.066827450,-82.566388933,Zone 4
821-001_5-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/29/2018 10:26:00 PM,11/21/2018 3:42:26 PM,11/21/2018 3:42:16 PM,RuggedCom Inc.,2,2,821-001_5-NB-SW,0,,-2,Up.gif,SR 821 MM 000 - 016,Fiber,Switch-Field,25.4647591,-80.45843306,South
821-026_9-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/21/2018 2:50:00 PM,11/21/2018 3:43:49 PM,11/21/2018 3:43:23 PM,iMPath Networks Inc.,1,1,821-026_9-SB-SW,0,,-2,Up.gif,SR 821 MM 016 - 035,Copper,Switch-Field,25.783057400,-80.386345541,South
821-027_8-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,11/8/2018 2:57:00 PM,11/21/2018 3:43:44 PM,11/21/2018 3:43:04 PM,"Brocade Communications Systems, Inc.",2,2,821-027_8-SB-SW,0,,-2,Up-Down.gif,SR 821 MM 016 - 035,Copper,Switch-Field,25.796501078,-80.386199609,South
821-018_3-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:43:01 PM,,Unknown,1,1,821-018_3-SB-VDS,0,,-2,Up.gif,SR 821 MM 016 - 035,Copper,Switch-Field,25.6574261,-80.38805825,South
821-022_4-NB-SW,12/30/1899 5:00:00 AM,0,Up-Unknown.gif,9/6/2018 9:26:00 PM,11/21/2018 3:43:39 PM,11/21/2018 3:43:31 PM,"Brocade Communications Systems, Inc.",5,2,821-022_4-NB-SW,0,,-2,Up-Unknown.gif,SR 821 MM 016 - 035,Copper,Switch-Field,25.715408310,-80.383208197,South
091-001_6X-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/2/2018 9:45:00 PM,11/21/2018 3:43:31 PM,11/21/2018 3:43:29 PM,iMPath Networks Inc.,1,0,091-001_6X-NB-SW,0,,-2,Up.gif,SR 091X GoldenG Spur MM 001 - 004,Copper,Switch-Field,25.942582,-80.223299,South
091-003_7X-NB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/7/2018 2:43:00 PM,11/21/2018 3:42:53 PM,11/21/2018 3:42:35 PM,RuggedCom Inc.,1,1,091-003_7X-NB-SW,0,,-2,Up.gif,SR 091X GoldenG Spur MM 001 - 004,Fiber,Switch-Field,25.971009,-80.229979,South
091-003_2X-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/12/2018 3:17:00 AM,11/21/2018 3:42:53 PM,11/21/2018 3:42:24 PM,RuggedCom Inc.,1,1,091-003_2X-SB-SW,0,,-2,Up.gif,SR 091X GoldenG Spur MM 001 - 004,Fiber,Switch-Field,25.96423119,-80.22966826,South
821-028_6-SB-SW,12/30/1899 5:00:00 AM,1,Up.gif,2/28/2018 12:51:00 AM,11/21/2018 3:43:10 PM,11/21/2018 3:42:54 PM,RuggedCom Inc.,2,1,821-028_6-SB-SW,0,,-2,Up.gif,SR 821 MM 016 - 035,Fiber,Switch-Field,25.807302565,-80.386468003,South
821-026_3-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,10/1/2018 12:17:00 AM,11/21/2018 3:42:52 PM,11/21/2018 3:42:35 PM,RuggedCom Inc.,3,1,821-026_3-SB-SW,0,,-2,Up-Down.gif,SR 821 MM 016 - 035,Fiber,Switch-Field,25.771829000,-80.385772000,South
821-025_4-NB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,10/1/2018 12:17:00 AM,11/21/2018 3:43:30 PM,11/21/2018 3:42:21 PM,RuggedCom Inc.,2,1,821-025_4-NB-SW,0,,-2,Up-Down.gif,SR 821 MM 016 - 035,Fiber,Switch-Field,25.759641092,-80.385040326,South
091-102_5-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:33 PM,,Unknown,8,2,091-102_5-SB-VDS,0,,-2,Up.gif,SR 091 MM 094 - 116,Copper,Switch-Field,26.744043000,-80.134953000,South
091-109_1-EB-SW,12/30/1899 5:00:00 AM,0,Up-Unknown.gif,,11/21/2018 3:39:30 PM,4/28/2014 12:49:49 PM,Lantech Computer Company,8,3,091-109_1-EB-SW,0,,-2,Up-Unknown.gif,SR 091 MM 094 - 116,Fiber,Switch-Field,26.838942000,-80.133845000,South
091-115_2-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:39:37 PM,,Unknown,5,1,091-115_2-SB-VDS,0,,-2,Up.gif,SR 091 MM 094 - 116,Fiber,Switch-Field,26.924625000,-80.149644000,South
869-011_9-SB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,9/10/2018 4:35:00 PM,11/21/2018 3:42:06 PM,11/21/2018 3:41:59 PM,RuggedCom Inc.,2,2,869-011_9-SB-SW,0,,-2,Up-Down.gif,SR 869 MM 000 - 021,Fiber,Switch-Field,26.288531000,-80.297407000,South
