Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
568-002_1-MD-VDS,12/30/1899 5:00:00 AM,1,Up.gif,11/8/2018 11:20:00 PM,11/21/2018 3:38:13 PM,11/21/2018 3:32:27 PM,SSL VPN,42,37,568-002_1-MD-VDS,0,,-2,Up.gif,SR 568 MM 000 - 010E,Copper,VDS,28.134081496,-82.516470119,Zone 4
568-001_0-MD-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:17 PM,,Unknown,43,36,568-001_0-MD-VDS,10,,-2,Up.gif,SR 568 MM 000 - 010E,Copper,VDS,28.126913248,-82.531572044,Zone 4
568-000_2-EB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,10/9/2018 9:20:00 AM,11/21/2018 3:35:15 PM,11/21/2018 3:32:19 PM,SSL VPN,40,37,568-000_2-EB-VDS,10,,-2,Up.gif,SR 568 MM 000 - 010E,Copper,VDS,28.122593291,-82.545220217,Zone 4
568-000_7-WB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,10/2/2018 7:31:00 PM,11/21/2018 3:37:50 PM,11/21/2018 3:31:24 PM,SSL VPN,43,35,568-000_7-WB-VDS,0,,-2,Up.gif,SR 568 MM 000 - 010E,Copper,VDS,28.126070719,-82.539127907,Zone 4
568-001_6-MD-VDS,12/30/1899 5:00:00 AM,1,Up.gif,10/4/2018 1:20:00 PM,11/21/2018 3:34:08 PM,11/21/2018 3:33:40 PM,SSL VPN,42,15,568-001_6-MD-VDS,0,,-2,Up.gif,SR 568 MM 000 - 010E,Copper,VDS,28.131729325,-82.524119128,Zone 4
589-014_4-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:12 PM,,Unknown,41,36,589-014_4-SB-VDS,0,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.130487259,-82.548747734,Zone 4
589-015_3-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:30:49 PM,,Unknown,41,26,589-015_3-SB-VDS,10,,-2,Up.gif,SR 589 MM 010 - 023,Fiber,VDS,28.143795621,-82.54583837,Zone 4
589-013_9-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:12 PM,,Unknown,42,36,589-013_9-NB-VDS,10,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.123365128,-82.546336040,Zone 4
589-014_8-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:39 PM,,Unknown,38,15,589-014_8-NB-VDS,10,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.137011369,-82.547309076,Zone 4
589-016_3-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:35:14 PM,,Unknown,43,23,589-016_3-SB-VDS,20,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.156405951,-82.538063773,Zone 4
589-017_7-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:39 PM,,Unknown,41,23,589-017_7-NB-VDS,10,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.175742160,-82.536474800,Zone 4
589-022_8-NSB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:35:14 PM,,Unknown,45,28,589-022_8-NSB-VDS,10,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.247488220,-82.550493410,Zone 4
589-015_8-NSB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:40 PM,,Unknown,41,31,589-015_8-NSB-VDS,0,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.150312659,-82.540635323,Zone 4
589-016_7-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:11 PM,,Unknown,44,37,589-016_7-NB-VDS,10,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.162037481,-82.537667412,Zone 4
589-019_0-NSB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:54 PM,,Unknown,40,29,589-019_0-NSB-VDS,0,,-2,Up.gif,SR 589 MM 010 - 023,Copper,VDS,28.192439510,-82.545283810,Zone 4
589-030_0-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:17 PM,,Unknown,41,30,589-030_0-NB-VDS,10,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.350645150,-82.544847100,Zone 4
589-024_2-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:54 PM,,Unknown,45,29,589-024_2-NB-VDS,0,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.267841300,-82.550094900,Zone 4
589-025_3-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:33:02 PM,,Unknown,44,16,589-025_3-NB-VDS,10,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.284711820,-82.550140990,Zone 4
589-034_4-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:41 PM,,Unknown,43,16,589-034_4-NB-VDS,10,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.404052080,-82.515003470,Zone 4
589-023_7-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:41 PM,,Unknown,42,29,589-023_7-SB-VDS,20,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.260728040,-82.550624630,Zone 4
589-025_0-NSB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:13 PM,,Unknown,43,36,589-025_0-NSB-VDS,10,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.279354890,-82.550107550,Zone 4
589-026_1-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:18 PM,,Unknown,43,34,589-026_1-NB-VDS,0,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.296195150,-82.550077200,Zone 4
589-026_9-NSB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:30:50 PM,,Unknown,43,34,589-026_9-NSB-VDS,20,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.307700350,-82.550102550,Zone 4
589-032_4-NSB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:35:16 PM,,Unknown,45,21,589-032_4-NSB-VDS,0,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.384414340,-82.538682520,Zone 4
589-035_3-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:57 PM,,Unknown,46,30,589-035_3-NB-VDS,0,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.411846580,-82.502459770,Zone 4
589-037_1-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:57 PM,,Unknown,47,33,589-037_1-NB-VDS,0,,-2,Up.gif,SR 589 MM 023 - 037,Copper,VDS,28.430799030,-82.484843430,Zone 4
589-038_8-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:41 PM,,Unknown,52,21,589-038_8-NB-VDS,0,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.455246580,-82.482391260,Zone 4
589-044_8-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:43:47 PM,,Unknown,45,27,589-044_8-SB-VDS,0,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.539687260,-82.479820970,Zone 4
589-045_8-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:31:57 PM,,Unknown,43,34,589-045_8-NB-VDS,20,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.553683330,-82.479766670,Zone 4
589-047_6-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:42 PM,,Unknown,43,35,589-047_6-NB-VDS,20,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.580050000,-82.479933330,Zone 4
589-050_3-SB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:32:42 PM,,Unknown,40,21,589-050_3-SB-VDS,10,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.616034310,-82.493755340,Zone 4
589-052_7-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:30:51 PM,,Unknown,43,37,589-052_7-NB-VDS,0,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.648567776,-82.493612173,Zone 4
589-037_9-NB-VDS,12/30/1899 5:00:00 AM,1,Up.gif,,11/21/2018 3:43:47 PM,,Unknown,42,20,589-037_9-NB-VDS,10,,-2,Up.gif,SR 589 MM 037 - 053,Copper,VDS,28.442780420,-82.484789260,Zone 4
