deviceid,date,cat1,cat2,cat3,cat4,fault_code_type_1_count_category,fault_code_type_1_count_per_usage1_category,fault_code_type_1_count_per_usage2_category,fault_code_type_2_count_category,fault_code_type_2_count_per_usage1_category,fault_code_type_2_count_per_usage2_category,fault_code_type_3_count_category,fault_code_type_3_count_per_usage1_category,fault_code_type_3_count_per_usage2_category,fault_code_type_4_count_category,fault_code_type_4_count_per_usage1_category,fault_code_type_4_count_per_usage2_category,problem_type_1_category,problem_type_1_per_usage1_category,problem_type_1_per_usage2_category,problem_type_2_category,problem_type_2_per_usage1_category,problem_type_2_per_usage2_category,problem_type_3_category,problem_type_3_per_usage1_category,problem_type_3_per_usage2_category,problem_type_4_category,problem_type_4_per_usage1_category,problem_type_4_per_usage2_category,version
N0001,12/8/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/9/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/10/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/11/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/12/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/13/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/14/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/15/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/16/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/17/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/18/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/19/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/20/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/21/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/22/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/23/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/24/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/25/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/26/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/27/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/28/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/29/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/30/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,12/31/12,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/1/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/2/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/3/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/4/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/5/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/6/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/7/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/8/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/9/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/10/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/11/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/12/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/13/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/14/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/15/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/16/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/17/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/18/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/19/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/20/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N0001,1/21/13,0-10,0-2000,0-200,5001-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
