deviceid,date,warn_type1_total_rollingmax_3,warn_type2_total_rollingmax_3,problem_type_1_rollingmax_3,problem_type_2_rollingmax_3,problem_type_3_rollingmax_3,problem_type_4_rollingmax_3,problem_type_1_per_usage1_rollingmax_3,problem_type_2_per_usage1_rollingmax_3,problem_type_3_per_usage1_rollingmax_3,problem_type_4_per_usage1_rollingmax_3,problem_type_1_per_usage2_rollingmax_3,problem_type_2_per_usage2_rollingmax_3,problem_type_3_per_usage2_rollingmax_3,problem_type_4_per_usage2_rollingmax_3,fault_code_type_1_count_rollingmax_3,fault_code_type_2_count_rollingmax_3,fault_code_type_3_count_rollingmax_3,fault_code_type_4_count_rollingmax_3,fault_code_type_1_count_per_usage1_rollingmax_3,fault_code_type_2_count_per_usage1_rollingmax_3,fault_code_type_3_count_per_usage1_rollingmax_3,fault_code_type_4_count_per_usage1_rollingmax_3,fault_code_type_1_count_per_usage2_rollingmax_3,fault_code_type_2_count_per_usage2_rollingmax_3,fault_code_type_3_count_per_usage2_rollingmax_3,fault_code_type_4_count_per_usage2_rollingmax_3,warn_type1_total_rollingmax_7,warn_type2_total_rollingmax_7,problem_type_1_rollingmax_7,problem_type_2_rollingmax_7,problem_type_3_rollingmax_7,problem_type_4_rollingmax_7,problem_type_1_per_usage1_rollingmax_7,problem_type_2_per_usage1_rollingmax_7,problem_type_3_per_usage1_rollingmax_7,problem_type_4_per_usage1_rollingmax_7,problem_type_1_per_usage2_rollingmax_7,problem_type_2_per_usage2_rollingmax_7,problem_type_3_per_usage2_rollingmax_7,problem_type_4_per_usage2_rollingmax_7,fault_code_type_1_count_rollingmax_7,fault_code_type_2_count_rollingmax_7,fault_code_type_3_count_rollingmax_7,fault_code_type_4_count_rollingmax_7,fault_code_type_1_count_per_usage1_rollingmax_7,fault_code_type_2_count_per_usage1_rollingmax_7,fault_code_type_3_count_per_usage1_rollingmax_7,fault_code_type_4_count_per_usage1_rollingmax_7,fault_code_type_1_count_per_usage2_rollingmax_7,fault_code_type_2_count_per_usage2_rollingmax_7,fault_code_type_3_count_per_usage2_rollingmax_7,fault_code_type_4_count_per_usage2_rollingmax_7,warn_type1_total_rollingmax_14,warn_type2_total_rollingmax_14,problem_type_1_rollingmax_14,problem_type_2_rollingmax_14,problem_type_3_rollingmax_14,problem_type_4_rollingmax_14,problem_type_1_per_usage1_rollingmax_14,problem_type_2_per_usage1_rollingmax_14,problem_type_3_per_usage1_rollingmax_14,problem_type_4_per_usage1_rollingmax_14,problem_type_1_per_usage2_rollingmax_14,problem_type_2_per_usage2_rollingmax_14,problem_type_3_per_usage2_rollingmax_14,problem_type_4_per_usage2_rollingmax_14,fault_code_type_1_count_rollingmax_14,fault_code_type_2_count_rollingmax_14,fault_code_type_3_count_rollingmax_14,fault_code_type_4_count_rollingmax_14,fault_code_type_1_count_per_usage1_rollingmax_14,fault_code_type_2_count_per_usage1_rollingmax_14,fault_code_type_3_count_per_usage1_rollingmax_14,fault_code_type_4_count_per_usage1_rollingmax_14,fault_code_type_1_count_per_usage2_rollingmax_14,fault_code_type_2_count_per_usage2_rollingmax_14,fault_code_type_3_count_per_usage2_rollingmax_14,fault_code_type_4_count_per_usage2_rollingmax_14,warn_type1_total_rollingmax_30,warn_type2_total_rollingmax_30,problem_type_1_rollingmax_30,problem_type_2_rollingmax_30,problem_type_3_rollingmax_30,problem_type_4_rollingmax_30,problem_type_1_per_usage1_rollingmax_30,problem_type_2_per_usage1_rollingmax_30,problem_type_3_per_usage1_rollingmax_30,problem_type_4_per_usage1_rollingmax_30,problem_type_1_per_usage2_rollingmax_30,problem_type_2_per_usage2_rollingmax_30,problem_type_3_per_usage2_rollingmax_30,problem_type_4_per_usage2_rollingmax_30,fault_code_type_1_count_rollingmax_30,fault_code_type_2_count_rollingmax_30,fault_code_type_3_count_rollingmax_30,fault_code_type_4_count_rollingmax_30,fault_code_type_1_count_per_usage1_rollingmax_30,fault_code_type_2_count_per_usage1_rollingmax_30,fault_code_type_3_count_per_usage1_rollingmax_30,fault_code_type_4_count_per_usage1_rollingmax_30,fault_code_type_1_count_per_usage2_rollingmax_30,fault_code_type_2_count_per_usage2_rollingmax_30,fault_code_type_3_count_per_usage2_rollingmax_30,fault_code_type_4_count_per_usage2_rollingmax_30,warn_type1_total_rollingmax_90,warn_type2_total_rollingmax_90,problem_type_1_rollingmax_90,problem_type_2_rollingmax_90,problem_type_3_rollingmax_90,problem_type_4_rollingmax_90,problem_type_1_per_usage1_rollingmax_90,problem_type_2_per_usage1_rollingmax_90,problem_type_3_per_usage1_rollingmax_90,problem_type_4_per_usage1_rollingmax_90,problem_type_1_per_usage2_rollingmax_90,problem_type_2_per_usage2_rollingmax_90,problem_type_3_per_usage2_rollingmax_90,problem_type_4_per_usage2_rollingmax_90,fault_code_type_1_count_rollingmax_90,fault_code_type_2_count_rollingmax_90,fault_code_type_3_count_rollingmax_90,fault_code_type_4_count_rollingmax_90,fault_code_type_1_count_per_usage1_rollingmax_90,fault_code_type_2_count_per_usage1_rollingmax_90,fault_code_type_3_count_per_usage1_rollingmax_90,fault_code_type_4_count_per_usage1_rollingmax_90,fault_code_type_1_count_per_usage2_rollingmax_90,fault_code_type_2_count_per_usage2_rollingmax_90,fault_code_type_3_count_per_usage2_rollingmax_90,fault_code_type_4_count_per_usage2_rollingmax_90,date_month,date_week,date_day,version
N0001,12/08/2012,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,49,8,0
N0001,12/09/2012,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,49,9,0
N0001,12/10/2012,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,10,0
N0001,12/11/2012,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,11,0
N0001,12/12/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,12,0
N0001,12/13/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,13,0
N0001,12/14/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,14,0
N0001,12/15/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,15,0
N0001,12/16/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,16,0
N0001,12/17/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,51,17,0
