deviceid,date,warn_type1_total_rollingmean_3,warn_type2_total_rollingmean_3,problem_type_1_rollingmean_3,problem_type_2_rollingmean_3,problem_type_3_rollingmean_3,problem_type_4_rollingmean_3,problem_type_1_per_usage1_rollingmean_3,problem_type_2_per_usage1_rollingmean_3,problem_type_3_per_usage1_rollingmean_3,problem_type_4_per_usage1_rollingmean_3,problem_type_1_per_usage2_rollingmean_3,problem_type_2_per_usage2_rollingmean_3,problem_type_3_per_usage2_rollingmean_3,problem_type_4_per_usage2_rollingmean_3,fault_code_type_1_count_rollingmean_3,fault_code_type_2_count_rollingmean_3,fault_code_type_3_count_rollingmean_3,fault_code_type_4_count_rollingmean_3,fault_code_type_1_count_per_usage1_rollingmean_3,fault_code_type_2_count_per_usage1_rollingmean_3,fault_code_type_3_count_per_usage1_rollingmean_3,fault_code_type_4_count_per_usage1_rollingmean_3,fault_code_type_1_count_per_usage2_rollingmean_3,fault_code_type_2_count_per_usage2_rollingmean_3,fault_code_type_3_count_per_usage2_rollingmean_3,fault_code_type_4_count_per_usage2_rollingmean_3,warn_type1_total_rollingmean_7,warn_type2_total_rollingmean_7,problem_type_1_rollingmean_7,problem_type_2_rollingmean_7,problem_type_3_rollingmean_7,problem_type_4_rollingmean_7,problem_type_1_per_usage1_rollingmean_7,problem_type_2_per_usage1_rollingmean_7,problem_type_3_per_usage1_rollingmean_7,problem_type_4_per_usage1_rollingmean_7,problem_type_1_per_usage2_rollingmean_7,problem_type_2_per_usage2_rollingmean_7,problem_type_3_per_usage2_rollingmean_7,problem_type_4_per_usage2_rollingmean_7,fault_code_type_1_count_rollingmean_7,fault_code_type_2_count_rollingmean_7,fault_code_type_3_count_rollingmean_7,fault_code_type_4_count_rollingmean_7,fault_code_type_1_count_per_usage1_rollingmean_7,fault_code_type_2_count_per_usage1_rollingmean_7,fault_code_type_3_count_per_usage1_rollingmean_7,fault_code_type_4_count_per_usage1_rollingmean_7,fault_code_type_1_count_per_usage2_rollingmean_7,fault_code_type_2_count_per_usage2_rollingmean_7,fault_code_type_3_count_per_usage2_rollingmean_7,fault_code_type_4_count_per_usage2_rollingmean_7,warn_type1_total_rollingmean_14,warn_type2_total_rollingmean_14,problem_type_1_rollingmean_14,problem_type_2_rollingmean_14,problem_type_3_rollingmean_14,problem_type_4_rollingmean_14,problem_type_1_per_usage1_rollingmean_14,problem_type_2_per_usage1_rollingmean_14,problem_type_3_per_usage1_rollingmean_14,problem_type_4_per_usage1_rollingmean_14,problem_type_1_per_usage2_rollingmean_14,problem_type_2_per_usage2_rollingmean_14,problem_type_3_per_usage2_rollingmean_14,problem_type_4_per_usage2_rollingmean_14,fault_code_type_1_count_rollingmean_14,fault_code_type_2_count_rollingmean_14,fault_code_type_3_count_rollingmean_14,fault_code_type_4_count_rollingmean_14,fault_code_type_1_count_per_usage1_rollingmean_14,fault_code_type_2_count_per_usage1_rollingmean_14,fault_code_type_3_count_per_usage1_rollingmean_14,fault_code_type_4_count_per_usage1_rollingmean_14,fault_code_type_1_count_per_usage2_rollingmean_14,fault_code_type_2_count_per_usage2_rollingmean_14,fault_code_type_3_count_per_usage2_rollingmean_14,fault_code_type_4_count_per_usage2_rollingmean_14,warn_type1_total_rollingmean_30,warn_type2_total_rollingmean_30,problem_type_1_rollingmean_30,problem_type_2_rollingmean_30,problem_type_3_rollingmean_30,problem_type_4_rollingmean_30,problem_type_1_per_usage1_rollingmean_30,problem_type_2_per_usage1_rollingmean_30,problem_type_3_per_usage1_rollingmean_30,problem_type_4_per_usage1_rollingmean_30,problem_type_1_per_usage2_rollingmean_30,problem_type_2_per_usage2_rollingmean_30,problem_type_3_per_usage2_rollingmean_30,problem_type_4_per_usage2_rollingmean_30,fault_code_type_1_count_rollingmean_30,fault_code_type_2_count_rollingmean_30,fault_code_type_3_count_rollingmean_30,fault_code_type_4_count_rollingmean_30,fault_code_type_1_count_per_usage1_rollingmean_30,fault_code_type_2_count_per_usage1_rollingmean_30,fault_code_type_3_count_per_usage1_rollingmean_30,fault_code_type_4_count_per_usage1_rollingmean_30,fault_code_type_1_count_per_usage2_rollingmean_30,fault_code_type_2_count_per_usage2_rollingmean_30,fault_code_type_3_count_per_usage2_rollingmean_30,fault_code_type_4_count_per_usage2_rollingmean_30,warn_type1_total_rollingmean_90,warn_type2_total_rollingmean_90,problem_type_1_rollingmean_90,problem_type_2_rollingmean_90,problem_type_3_rollingmean_90,problem_type_4_rollingmean_90,problem_type_1_per_usage1_rollingmean_90,problem_type_2_per_usage1_rollingmean_90,problem_type_3_per_usage1_rollingmean_90,problem_type_4_per_usage1_rollingmean_90,problem_type_1_per_usage2_rollingmean_90,problem_type_2_per_usage2_rollingmean_90,problem_type_3_per_usage2_rollingmean_90,problem_type_4_per_usage2_rollingmean_90,fault_code_type_1_count_rollingmean_90,fault_code_type_2_count_rollingmean_90,fault_code_type_3_count_rollingmean_90,fault_code_type_4_count_rollingmean_90,fault_code_type_1_count_per_usage1_rollingmean_90,fault_code_type_2_count_per_usage1_rollingmean_90,fault_code_type_3_count_per_usage1_rollingmean_90,fault_code_type_4_count_per_usage1_rollingmean_90,fault_code_type_1_count_per_usage2_rollingmean_90,fault_code_type_2_count_per_usage2_rollingmean_90,fault_code_type_3_count_per_usage2_rollingmean_90,fault_code_type_4_count_per_usage2_rollingmean_90,date_month,date_week,date_day,version
N0001,12/08/2012,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,49,8,0
N0001,12/09/2012,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,49,9,0
N0001,12/10/2012,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,10,0
N0001,12/11/2012,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,11,0
N0001,12/12/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,12,0
N0001,12/13/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,13,0
N0001,12/14/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,14,0
N0001,12/15/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,15,0
N0001,12/16/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,16,0
N0001,12/17/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,51,17,0
