deviceid,date,warn_type1_total_rollingstd_3,warn_type2_total_rollingstd_3,problem_type_1_rollingstd_3,problem_type_2_rollingstd_3,problem_type_3_rollingstd_3,problem_type_4_rollingstd_3,problem_type_1_per_usage1_rollingstd_3,problem_type_2_per_usage1_rollingstd_3,problem_type_3_per_usage1_rollingstd_3,problem_type_4_per_usage1_rollingstd_3,problem_type_1_per_usage2_rollingstd_3,problem_type_2_per_usage2_rollingstd_3,problem_type_3_per_usage2_rollingstd_3,problem_type_4_per_usage2_rollingstd_3,fault_code_type_1_count_rollingstd_3,fault_code_type_2_count_rollingstd_3,fault_code_type_3_count_rollingstd_3,fault_code_type_4_count_rollingstd_3,fault_code_type_1_count_per_usage1_rollingstd_3,fault_code_type_2_count_per_usage1_rollingstd_3,fault_code_type_3_count_per_usage1_rollingstd_3,fault_code_type_4_count_per_usage1_rollingstd_3,fault_code_type_1_count_per_usage2_rollingstd_3,fault_code_type_2_count_per_usage2_rollingstd_3,fault_code_type_3_count_per_usage2_rollingstd_3,fault_code_type_4_count_per_usage2_rollingstd_3,warn_type1_total_rollingstd_7,warn_type2_total_rollingstd_7,problem_type_1_rollingstd_7,problem_type_2_rollingstd_7,problem_type_3_rollingstd_7,problem_type_4_rollingstd_7,problem_type_1_per_usage1_rollingstd_7,problem_type_2_per_usage1_rollingstd_7,problem_type_3_per_usage1_rollingstd_7,problem_type_4_per_usage1_rollingstd_7,problem_type_1_per_usage2_rollingstd_7,problem_type_2_per_usage2_rollingstd_7,problem_type_3_per_usage2_rollingstd_7,problem_type_4_per_usage2_rollingstd_7,fault_code_type_1_count_rollingstd_7,fault_code_type_2_count_rollingstd_7,fault_code_type_3_count_rollingstd_7,fault_code_type_4_count_rollingstd_7,fault_code_type_1_count_per_usage1_rollingstd_7,fault_code_type_2_count_per_usage1_rollingstd_7,fault_code_type_3_count_per_usage1_rollingstd_7,fault_code_type_4_count_per_usage1_rollingstd_7,fault_code_type_1_count_per_usage2_rollingstd_7,fault_code_type_2_count_per_usage2_rollingstd_7,fault_code_type_3_count_per_usage2_rollingstd_7,fault_code_type_4_count_per_usage2_rollingstd_7,warn_type1_total_rollingstd_14,warn_type2_total_rollingstd_14,problem_type_1_rollingstd_14,problem_type_2_rollingstd_14,problem_type_3_rollingstd_14,problem_type_4_rollingstd_14,problem_type_1_per_usage1_rollingstd_14,problem_type_2_per_usage1_rollingstd_14,problem_type_3_per_usage1_rollingstd_14,problem_type_4_per_usage1_rollingstd_14,problem_type_1_per_usage2_rollingstd_14,problem_type_2_per_usage2_rollingstd_14,problem_type_3_per_usage2_rollingstd_14,problem_type_4_per_usage2_rollingstd_14,fault_code_type_1_count_rollingstd_14,fault_code_type_2_count_rollingstd_14,fault_code_type_3_count_rollingstd_14,fault_code_type_4_count_rollingstd_14,fault_code_type_1_count_per_usage1_rollingstd_14,fault_code_type_2_count_per_usage1_rollingstd_14,fault_code_type_3_count_per_usage1_rollingstd_14,fault_code_type_4_count_per_usage1_rollingstd_14,fault_code_type_1_count_per_usage2_rollingstd_14,fault_code_type_2_count_per_usage2_rollingstd_14,fault_code_type_3_count_per_usage2_rollingstd_14,fault_code_type_4_count_per_usage2_rollingstd_14,warn_type1_total_rollingstd_30,warn_type2_total_rollingstd_30,problem_type_1_rollingstd_30,problem_type_2_rollingstd_30,problem_type_3_rollingstd_30,problem_type_4_rollingstd_30,problem_type_1_per_usage1_rollingstd_30,problem_type_2_per_usage1_rollingstd_30,problem_type_3_per_usage1_rollingstd_30,problem_type_4_per_usage1_rollingstd_30,problem_type_1_per_usage2_rollingstd_30,problem_type_2_per_usage2_rollingstd_30,problem_type_3_per_usage2_rollingstd_30,problem_type_4_per_usage2_rollingstd_30,fault_code_type_1_count_rollingstd_30,fault_code_type_2_count_rollingstd_30,fault_code_type_3_count_rollingstd_30,fault_code_type_4_count_rollingstd_30,fault_code_type_1_count_per_usage1_rollingstd_30,fault_code_type_2_count_per_usage1_rollingstd_30,fault_code_type_3_count_per_usage1_rollingstd_30,fault_code_type_4_count_per_usage1_rollingstd_30,fault_code_type_1_count_per_usage2_rollingstd_30,fault_code_type_2_count_per_usage2_rollingstd_30,fault_code_type_3_count_per_usage2_rollingstd_30,fault_code_type_4_count_per_usage2_rollingstd_30,warn_type1_total_rollingstd_90,warn_type2_total_rollingstd_90,problem_type_1_rollingstd_90,problem_type_2_rollingstd_90,problem_type_3_rollingstd_90,problem_type_4_rollingstd_90,problem_type_1_per_usage1_rollingstd_90,problem_type_2_per_usage1_rollingstd_90,problem_type_3_per_usage1_rollingstd_90,problem_type_4_per_usage1_rollingstd_90,problem_type_1_per_usage2_rollingstd_90,problem_type_2_per_usage2_rollingstd_90,problem_type_3_per_usage2_rollingstd_90,problem_type_4_per_usage2_rollingstd_90,fault_code_type_1_count_rollingstd_90,fault_code_type_2_count_rollingstd_90,fault_code_type_3_count_rollingstd_90,fault_code_type_4_count_rollingstd_90,fault_code_type_1_count_per_usage1_rollingstd_90,fault_code_type_2_count_per_usage1_rollingstd_90,fault_code_type_3_count_per_usage1_rollingstd_90,fault_code_type_4_count_per_usage1_rollingstd_90,fault_code_type_1_count_per_usage2_rollingstd_90,fault_code_type_2_count_per_usage2_rollingstd_90,fault_code_type_3_count_per_usage2_rollingstd_90,fault_code_type_4_count_per_usage2_rollingstd_90,date_month,date_week,date_day,version
N0001,12/08/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,49,8,0
N0001,12/09/2012,7.0710678118654755,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,49,9,0
N0001,12/10/2012,5.773502691896257,5.773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773502691896257,5.773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773502691896257,5.773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773502691896257,5.773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.773502691896257,5.773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,10,0
N0001,12/11/2012,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,11,0
N0001,12/12/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472135954999579,4.472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472135954999579,4.472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472135954999579,4.472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472135954999579,4.472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,12,0
N0001,12/13/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0824829046386295,4.0824829046386295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0824829046386295,4.0824829046386295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0824829046386295,4.0824829046386295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0824829046386295,4.0824829046386295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,13,0
N0001,12/14/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7796447300922718,3.7796447300922718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7796447300922718,3.7796447300922718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7796447300922718,3.7796447300922718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7796447300922718,3.7796447300922718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,14,0
N0001,12/15/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355339059327373,3.5355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355339059327373,3.5355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355339059327373,3.5355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355339059327373,3.5355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,15,0
N0001,12/16/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,50,16,0
N0001,12/17/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.162277660168379,3.162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.162277660168379,3.162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.162277660168379,3.162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,51,17,0
